description,incident_type,hour_of_day,day_of_week,lga,citizen_severity_hint,keyword_flags
Electric pole catch fire near Ajah junction,Fire,0,0,Ajah,2,1
Boys dey break enter compound with cutlass for Festac,Security,7,6,Festac,3,0
Fire don start for apartment block for Lagos Island,Fire,23,5,Lagos Island,2,1
House for Ikorodu dey burn with flame and people dey run smoke everywhere,Fire,14,3,Ikorodu,2,1
Accident happen for expressway near Agege with many injured,Accident,9,2,Agege,2,1
Pileup accident just happen for Ajah bridge,Accident,8,1,Ajah,2,1
Patient no dey breathe after accident for Lagos Island,Medical,7,2,Lagos Island,2,1
Electric pole catch fire near Alimosho junction,Fire,22,4,Alimosho,3,1
Boys dey break enter compound with cutlass for Surulere,Security,19,1,Surulere,3,0
Fight and attack dey happen for Festac street,Security,14,1,Festac,2,1
Boys dey break enter compound with cutlass for Ikeja boys don dey there,Security,19,5,Ikeja,3,0
Person don faint for road for Lekki person still no fit wake,Medical,16,6,Lekki,3,1
House for Ajah dey burn with flame and people dey run,Fire,6,1,Ajah,4,1
Boys dey break enter compound with cutlass for Ikorodu boys don dey there,Security,17,2,Ikorodu,4,0
Patient no dey breathe after accident for Lagos Island,Medical,13,1,Lagos Island,4,1
Fight and attack dey happen for Yaba street boys don dey there,Security,19,5,Yaba,2,1
Heavy smoke dey come out from market for Surulere smoke everywhere,Fire,19,2,Surulere,3,1
Vehicle don crash for Festac road and traffic don jam,Accident,8,5,Festac,2,1
Person don faint for road for Lagos Island,Medical,20,4,Lagos Island,3,1
Patient no dey breathe after accident for Festac person still no fit wake,Medical,5,6,Festac,2,2
Thief don use gun dey rob people for Ajah boys don dey there,Security,1,1,Ajah,4,1
Patient no dey breathe after accident for Surulere,Medical,5,4,Surulere,3,1
Motorcycle hit pedestrian for Ajah during morning rush,Accident,9,0,Ajah,2,0
Thief don use gun dey rob people for Agege,Security,3,4,Agege,3,1
Patient no dey breathe after accident for Alimosho,Medical,15,3,Alimosho,3,1
Boys dey break enter compound with cutlass for Festac,Security,14,3,Festac,3,0
Fight and attack dey happen for Ajah street,Security,21,2,Ajah,4,1
Fire don start for apartment block for Festac,Fire,17,5,Festac,5,1
Person don faint for road for Agege,Medical,10,1,Agege,2,1
Vehicle don crash for Ikorodu road and traffic don jam,Accident,19,2,Ikorodu,2,1
Accident happen for expressway near Ikorodu with many injured,Accident,9,5,Ikorodu,4,1
House for Yaba dey burn with flame and people dey run,Fire,6,6,Yaba,5,1
Patient no dey breathe after accident for Ikorodu,Medical,1,4,Ikorodu,3,1
Person don faint for road for Lagos Island person still no fit wake,Medical,3,6,Lagos Island,2,1
Person don faint for road for Agege,Medical,1,0,Agege,4,1
Thief don use gun dey rob people for Ikeja,Security,10,2,Ikeja,4,1
Person don faint for road for Lagos Island,Medical,11,6,Lagos Island,4,1
Patient no dey breathe after accident for Ikorodu person still no fit wake,Medical,0,1,Ikorodu,5,2
Pileup accident just happen for Alimosho bridge,Accident,8,0,Alimosho,3,1
Pileup accident just happen for Ikorodu bridge,Accident,17,0,Ikorodu,2,1
Thief don use gun dey rob people for Lagos Island boys don dey there,Security,9,6,Lagos Island,1,1
House owners dey complain say em intruder don enter for Surulere,Security,20,2,Surulere,3,0
Patient no dey breathe after accident for Ikeja person still no fit wake,Medical,12,3,Ikeja,4,2
Accident happen for expressway near Festac with many injured,Accident,16,4,Festac,3,1
Electric pole catch fire near Ikeja junction,Fire,2,4,Ikeja,2,1
Injured man dey bleed for Ajah bus stop person still no fit wake,Medical,7,1,Ajah,3,2
House owners dey complain say em intruder don enter for Ikeja,Security,5,4,Ikeja,2,0
Person don faint for road for Agege person still no fit wake,Medical,23,5,Agege,4,1
Thief don use gun dey rob people for Festac,Security,23,6,Festac,3,1
Injured man dey bleed for Ikorodu bus stop,Medical,9,3,Ikorodu,5,1
Thief don use gun dey rob people for Ikeja,Security,21,2,Ikeja,4,1
Injured man dey bleed for Agege bus stop,Medical,10,4,Agege,2,1
Boys dey break enter compound with cutlass for Alimosho,Security,3,4,Alimosho,3,0
Vehicle don crash for Yaba road and traffic don jam,Accident,20,4,Yaba,4,1
Patient no dey breathe after accident for Agege person still no fit wake,Medical,1,3,Agege,3,2
Fight and attack dey happen for Yaba street,Security,3,0,Yaba,3,1
Injured man dey bleed for Agege bus stop,Medical,21,0,Agege,2,1
Accident happen for expressway near Alimosho with many injured,Accident,17,5,Alimosho,2,1
Heavy smoke dey come out from market for Agege,Fire,19,4,Agege,5,1
Person don faint for road for Surulere,Medical,21,4,Surulere,5,1
House owners dey complain say em intruder don enter for Agege,Security,9,0,Agege,4,0
Injured man dey bleed for Ajah bus stop person still no fit wake,Medical,2,1,Ajah,2,2
Motorcycle hit pedestrian for Alimosho during morning rush,Accident,9,3,Alimosho,3,0
Injured man dey bleed for Yaba bus stop,Medical,12,5,Yaba,3,1
House owners dey complain say em intruder don enter for Agege,Security,3,1,Agege,2,0
Fight and attack dey happen for Agege street,Security,4,2,Agege,5,1
Injured man dey bleed for Lekki bus stop person still no fit wake,Medical,2,2,Lekki,4,2
House owners dey complain say em intruder don enter for Lekki,Security,11,0,Lekki,2,0
Patient no dey breathe after accident for Yaba person still no fit wake,Medical,11,0,Yaba,3,2
Pileup accident just happen for Alimosho bridge,Accident,18,5,Alimosho,1,1
Injured man dey bleed for Yaba bus stop,Medical,0,5,Yaba,1,1
Thief don use gun dey rob people for Ikeja,Security,1,4,Ikeja,3,1
Accident happen for expressway near Ikorodu with many injured,Accident,19,1,Ikorodu,2,1
Boys dey break enter compound with cutlass for Ajah,Security,2,4,Ajah,2,0
Injured man dey bleed for Yaba bus stop,Medical,14,4,Yaba,5,1
House owners dey complain say em intruder don enter for Ikeja,Security,0,1,Ikeja,2,0
Motorcycle hit pedestrian for Festac during morning rush,Accident,9,4,Festac,2,0
Person don faint for road for Agege,Medical,5,4,Agege,2,1
Patient no dey breathe after accident for Ikeja,Medical,1,6,Ikeja,4,1
Vehicle don crash for Ikorodu road and traffic don jam,Accident,6,6,Ikorodu,4,1
Fight and attack dey happen for Festac street,Security,17,5,Festac,3,1
Accident happen for expressway near Ajah with many injured,Accident,9,1,Ajah,5,1
Fight and attack dey happen for Ikeja street,Security,20,1,Ikeja,1,1
Patient no dey breathe after accident for Ajah,Medical,19,1,Ajah,1,1
Thief don use gun dey rob people for Alimosho boys don dey there,Security,1,3,Alimosho,2,1
Fire don start for apartment block for Ikorodu,Fire,20,4,Ikorodu,5,1
Fire don start for apartment block for Agege,Fire,6,1,Agege,3,1
House for Ajah dey burn with flame and people dey run,Fire,1,2,Ajah,4,1
One person dey vomit and no fit wake inside Lekki,Medical,16,4,Lekki,2,1
Fire don start for apartment block for Ikeja,Fire,8,6,Ikeja,3,1
Fire don start for apartment block for Festac smoke everywhere,Fire,16,6,Festac,5,1
Motorcycle hit pedestrian for Lekki during morning rush,Accident,9,3,Lekki,3,0
Fight and attack dey happen for Ikorodu street,Security,17,4,Ikorodu,3,1
Boys dey break enter compound with cutlass for Festac,Security,0,2,Festac,3,0
Patient no dey breathe after accident for Lagos Island,Medical,0,2,Lagos Island,1,1
House owners dey complain say em intruder don enter for Ikorodu boys don dey there,Security,23,6,Ikorodu,3,0
Heavy smoke dey come out from market for Alimosho,Fire,15,4,Alimosho,3,1
Injured man dey bleed for Alimosho bus stop,Medical,22,6,Alimosho,4,1
Person don faint for road for Ikeja person still no fit wake,Medical,3,0,Ikeja,5,1
Pileup accident just happen for Ikeja bridge,Accident,8,4,Ikeja,1,1
Boys dey break enter compound with cutlass for Festac boys don dey there,Security,7,5,Festac,4,0
Person don faint for road for Lagos Island person still no fit wake,Medical,5,6,Lagos Island,2,1
Accident happen for expressway near Agege with many injured,Accident,8,2,Agege,3,1
Person don faint for road for Agege,Medical,18,4,Agege,3,1
Thief don use gun dey rob people for Alimosho,Security,4,6,Alimosho,3,1
Boys dey break enter compound with cutlass for Ikeja,Security,20,0,Ikeja,3,0
One person dey vomit and no fit wake inside Lekki person still no fit wake,Medical,12,5,Lekki,3,1
Injured man dey bleed for Ikeja bus stop person still no fit wake,Medical,6,6,Ikeja,3,2
Boys dey break enter compound with cutlass for Lekki boys don dey there,Security,10,3,Lekki,1,0
Fire don start for apartment block for Ikorodu,Fire,9,3,Ikorodu,3,1
Heavy smoke dey come out from market for Agege,Fire,1,2,Agege,1,1
Thief don use gun dey rob people for Surulere,Security,8,3,Surulere,2,1
Patient no dey breathe after accident for Festac,Medical,15,3,Festac,4,1
Thief don use gun dey rob people for Ikeja,Security,17,4,Ikeja,3,1
House owners dey complain say em intruder don enter for Festac boys don dey there,Security,4,5,Festac,4,0
One person dey vomit and no fit wake inside Ikeja,Medical,16,1,Ikeja,4,1
Vehicle don crash for Agege road and traffic don jam,Accident,6,4,Agege,5,1
Injured man dey bleed for Ikorodu bus stop,Medical,1,1,Ikorodu,3,1
Person don faint for road for Agege,Medical,11,4,Agege,2,1
Fight and attack dey happen for Lagos Island street boys don dey there,Security,21,1,Lagos Island,2,1
Person don faint for road for Lagos Island,Medical,3,5,Lagos Island,2,1
Patient no dey breathe after accident for Yaba,Medical,19,5,Yaba,2,1
Vehicle don crash for Festac road and traffic don jam,Accident,20,4,Festac,2,1
Person don faint for road for Alimosho person still no fit wake,Medical,7,4,Alimosho,3,1
Motorcycle hit pedestrian for Ajah during morning rush,Accident,16,6,Ajah,2,0
House for Yaba dey burn with flame and people dey run,Fire,4,3,Yaba,4,1
Fire don start for apartment block for Ajah,Fire,15,3,Ajah,3,1
Accident happen for expressway near Ikeja with many injured,Accident,8,5,Ikeja,4,1
Heavy smoke dey come out from market for Ikorodu,Fire,11,3,Ikorodu,2,1
Patient no dey breathe after accident for Ikorodu,Medical,11,4,Ikorodu,3,1
Accident happen for expressway near Ikeja with many injured,Accident,19,1,Ikeja,3,1
Heavy smoke dey come out from market for Festac,Fire,8,1,Festac,3,1
One person dey vomit and no fit wake inside Yaba person still no fit wake,Medical,21,1,Yaba,2,1
Electric pole catch fire near Festac junction smoke everywhere,Fire,6,3,Festac,3,1
Fight and attack dey happen for Lagos Island street boys don dey there,Security,20,3,Lagos Island,3,1
Pileup accident just happen for Alimosho bridge,Accident,19,3,Alimosho,3,1
Motorcycle hit pedestrian for Ajah during morning rush,Accident,6,3,Ajah,4,0
One person dey vomit and no fit wake inside Ikeja,Medical,0,4,Ikeja,1,1
